# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: C:\Users\adamj\Downloads\test\test.csv
# Generated on: Thu Oct 01 19:25:04 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
HEX0[6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
HEX0[5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
HEX0[4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
HEX0[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
HEX0[2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
HEX0[1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
HEX0[0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
HEX1[6],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
HEX1[5],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
HEX1[4],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
HEX1[3],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
HEX1[2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
HEX1[1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
HEX1[0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
HEX2[6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
HEX2[5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
HEX2[4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
HEX2[3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
HEX2[2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
